Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/Action Taken,Week
KL/THI/2024/02/42,Kerala,Thiruvananthapuram,Food Poisoning,16,0,08-01-2024,09-01-2024,Under Control,"Village Perumpazhuthur. Vomiting, pain abdomen, loose stools after food in a ceremony.",Week 2
MP/DHR/2024/02/43,Madhya Pradesh,Dhar,Animal Bite - Dog Bite,13,0,11-01-2024,12-01-2024,Under Surveillance,Sub-District Kukshi. Dog bite by stray dog in Block Bagh. Age 5-74 years. ARV given to all.,Week 2
MP/GUN/2024/02/44,Madhya Pradesh,Guna,Measles,12,0,06-01-2024,12-01-2024,Under Surveillance,"Village Tuman Khedi. Fever, rash, cough, coryza. Age 3-14 years. Sample positive for Measles IgM ELISA.",Week 2
MH/KOP/2024/02/45,Maharashtra,Kolhapur,Hepatitis A,42,0,12-01-2024,12-01-2024,Under Surveillance,"Village Nindhori and Kurni. Fever, loss of appetite. Age 10-60 years. 6 samples positive for Hepatitis A IgM ELISA.",Week 2
OR/DEO/2024/02/46,Odisha,Deogarh,Food Poisoning,250,0,08-01-2024,08-01-2024,Under Control,Village Kangreshpur. Loose motion after food at religious function on 07-01-2024.,Week 2
TN/TNJ/2024/02/47,Tamil Nadu,Thanjavur,Cholera,41,0,12-01-2024,13-01-2024,Under Control,Village Mariamman Kovil. Vomiting and loose stools. 2 of 7 stool samples positive for Cholera.,Week 2
TN/VIR/2024/02/48,Tamil Nadu,Virudhunagar,Mumps,15,0,12-01-2024,12-01-2024,Under Surveillance,Village Subburaj Cotton Mill Colony. Fever with parotid swelling. Age >14 years. RRT investigated.,Week 2
UP/JLA/2024/02/49,Uttar Pradesh,Jalaun,Measles,5,0,08-01-2024,10-01-2024,Under Surveillance,"Village Mohana. Fever with rash, headache. Age 4-8 years. All 5 samples positive for Measles IgM ELISA. Only 1 of 5 vaccinated for MMR.",Week 2
WB/BWN/2024/02/50,West Bengal,Purba Bardhaman,Food Poisoning,164,0,06-01-2024,09-01-2024,Under Control,"Sub-District Raina-II. Vomiting, fever, pain abdomen after food in religious ceremony. Age 25-50 years.",Week 2
WB/BWN/2024/02/51,West Bengal,Purba Bardhaman,Food Poisoning,72,0,03-01-2024,,Under Control,"Village Gantey, Memari-II. Vomiting and nausea after food in funeral ceremony. Age 16-68 years. (Late report)",Week 2
AR/EKM/2024/03/052,Arunachal Pradesh,East Kameng,Human Rabies,1,1,13-01-2024,19-01-2024,Under Control,"Meorang Village. Dog bite Nov 2023, no ARV. 9-year-old female expired 14-01-2024 at TRIHMS Naharlagun.",Week 3
GJ/ARL/2024/03/053,Gujarat,Amreli,Acute Diarrheal Disease,68,0,18-01-2024,18-01-2024,Under Control,Village Taivadar. Diarrhea and vomiting. Age >12 years. E.coli isolated in all 3 stool samples.,Week 3
GJ/MRB/2024/03/054,Gujarat,Morbi,Hepatitis A,22,0,16-01-2024,17-01-2024,Under Surveillance,"Village Targa. Fever, vomiting, weakness, lack of appetite. Age 7-15 years. 2 samples positive for Hepatitis A ELISA.",Week 3
JH/SIM/2024/03/055,Jharkhand,Simdega,Chickenpox,23,0,17-01-2024,17-01-2024,Under Surveillance,Village Targa. Fever with rash. Age 2-46 years. All 6 samples positive for Varicella Zoster IgM ELISA.,Week 3
KN/CHI/2024/03/056,Karnataka,Chitradurga,Acute Diarrheal Disease,5,0,14-01-2024,17-01-2024,Under Control,"Kodagavalli Village. Loose stool, vomiting after consumption of Rice, Green Peas and Sambar. Age 21-50 years.",Week 3
KN/SHI/2024/03/057,Karnataka,Shivamogga,Kyasanur Forest Disease,297,0,18-01-2024,20-01-2024,Under Surveillance,"60 villages & 7 PHCs, Beetabasavani PHC, Tirthahalli Taluk. Fever with myalgia. 6 positive for KFDV by RT-PCR.",Week 3
KN/SHI/2024/03/058,Karnataka,Shivamogga,Kyasanur Forest Disease,53,0,18-01-2024,20-01-2024,Under Surveillance,"6 villages & 1 PHC, Kagodu PHC, Sagar Taluk. Fever with myalgia. 2 positive for KFDV by RT-PCR.",Week 3
KN/KRW/2024/03/059,Karnataka,Uttar Kannad,Kyasanur Forest Disease,310,0,18-01-2024,19-01-2024,Under Surveillance,"5 PHCs, 8 villages, Siddapur Taluk. Fever with myalgia. 40 positive for KFDV by RT-PCR. 16 monkey deaths reported.",Week 3
KL/KAS/2024/03/060,Kerala,Kasaragod,Food Poisoning,141,0,18-01-2024,18-01-2024,Under Control,"Village West Eleri. Vomiting, abdominal pain, fever, loose stools after food from common place. 200 ORS packets distributed.",Week 3
KL/KTM/2024/03/0561,Kerala,Kottayam,Dengue,39,0,12-01-2024,19-01-2024,Under Surveillance,"Village Changanassery. Fever, headache, body pain, joint pain. Age 12-60 years. 39 samples positive for dengue by Rapid NS1.",Week 3
KL/KTM/2024/03/0562,Kerala,Kottayam,Hepatitis A,6,0,12-01-2024,16-01-2024,Under Surveillance,"FHC Athirampuzha, school. Fever, vomiting, yellowish discoloration of eyes. Age 21-22 years. 3 samples positive for Hepatitis A IgM ELISA.",Week 3
MP/BPL/2024/03/0563,Madhya Pradesh,Bhopal,Mumps,18,0,12-01-2024,17-01-2024,Under Surveillance,CH Bairagarh. Fever with swelling in neck. All 5 samples positive for mumps IgM ELISA.,Week 3
MP/BUH/2024/03/0564,Madhya Pradesh,Burhanpur,Mumps,33,0,18-01-2024,19-01-2024,Under Surveillance,Village Amba. Fever with swelling in neck. Age 5-10 years. All 10 samples positive for mumps IgM ELISA.,Week 3
MP/GWL/2024/03/0565,Madhya Pradesh,Gwalior,Mumps,31,0,20-01-2024,20-01-2024,Under Surveillance,"CH Dabra. Fever, cough, sore throat. Samples sent to AIIMS Bhopal for investigation.",Week 3
MP/SHR/2024/03/0566,Madhya Pradesh,Sheopur,Fever with Rash,23,0,20-01-2024,20-01-2024,Under Surveillance,Village Baddan. Fever with rash. RRT investigated.,Week 3
MP/SVP/2024/03/0567,Madhya Pradesh,Shivpuri,Measles,18,2,13-01-2024,15-01-2024,Under Surveillance,"Village Dhakrora. Fever with rash, cough, runny nose. 7 of 9 samples positive for measles IgM ELISA. 3-year and 4-year-old females expired.",Week 3
MH/THN/2024/03/0568,Maharashtra,Thane,Dengue,5,1,12-01-2024,16-01-2024,Under Surveillance,"Kalambhe, SC Asangaon, PHC Vashind. Fever, weakness. Age 10-40 years. 2 samples positive for dengue IgM ELISA. 22-year-old female expired.",Week 3
OR/BAG/2024/03/0569,Odisha,Balangir,Acute Diarrheal Disease,39,0,16-01-2024,16-01-2024,Under Control,"Village Desil, school. Loose motion. Age 10-14 years. Water H2S positive.",Week 3
OR/BAR/2024/03/070,Odisha,Boudh,Acute Diarrheal Disease,42,0,19-01-2024,20-01-2024,Under Control,Village Bishnupur. Loose motion after food at ceremony. Age 25-75 years. Water H2S positive.,Week 3
OR/CUT/2024/03/071,Odisha,Cuttack,Acute Diarrheal Disease,7,0,14-01-2024,15-01-2024,Under Control,Village Megha. Loose motion & vomiting. Age 15-60 years. No entero-pathogenic bacteria found.,Week 3
OR/GJM/2024/03/072,Odisha,Ganjam,Fever with Rash,18,0,16-01-2024,18-01-2024,Under Control,Village Vajrachaunde. Fever with rash. Age 5-19 years. RRT investigated.,Week 3
OR/KPT/2024/03/073,Odisha,Koraput,Acute Diarrheal Disease,30,0,20-01-2024,20-01-2024,Under Surveillance,Village Ampaballi. Loose motion after social gathering. Age 10-64 years. Water H2S positive.,Week 3
OR/PRI/2024/03/074,Odisha,Puri,Acute Diarrheal Disease,16,0,16-01-2024,16-01-2024,Under Control,"Village Barag Hariasahi. Fever, vomiting, loose motion. Age 12-56 years. Water H2S positive, OT 0 PPM.",Week 3
PN/PRI/2024/03/075,Puducherry,Pondicherry,Chikungunya,18,0,19-01-2024,19-01-2024,Under Surveillance,Village Thimmanaickenpalayam. Joint pain with fever. Age 20-65 years. 9 of 16 samples positive for Chikungunya IgM ELISA.,Week 3
TN/PER/2024/03/076,Tamil Nadu,Perambalur,Mumps,9,0,19-01-2024,19-01-2024,Under Control,Village Thirumandurai. Parotid swelling with fever. Age 2-14 years. All blood samples positive for mumps IgM ELISA.,Week 3
UP/CKH/2024/03/077,Uttar Pradesh,Chandauli,Measles,43,0,01-01-2024,19-01-2024,Under Control,Village Awti. Fever with rash. Age 3-7 years. 4 of 6 samples positive for Measles IgM ELISA.,Week 3
KL/WYN/2024/03/078,Kerala,Wayanad,Acute Diarrheal Disease,18,0,09-01-2024,,Under Surveillance,"Ladies hostel, PHC Sugandhagiri. Loose stool, nausea, vomiting. E. coli and coliform in well water. (Late report)",Week 3
MP/GUN/2024/03/079,Madhya Pradesh,Guna,Measles,12,0,10-01-2024,,Under Control,"Village Murela. Fever with rash, cough, coryza. 1 sample positive for Anti-Measles IgM ELISA. (Late report)",Week 3
MP/GUN/2024/03/080,Madhya Pradesh,Guna,Measles,12,0,08-01-2024,,Under Control,"Village Panchora. Fever with rash, cough, coryza. 1 sample positive for Anti-Measles IgM ELISA. (Late report)",Week 3
MH/BNR/2024/03/081,Maharashtra,Bhandara,Acute Diarrheal Disease,29,0,09-01-2024,,Under Surveillance,"Village Asgaon. Abdominal pain, nausea, dysentery. Age 6-70 years. Food samples sent for investigation. (Late report)",Week 3
MH/THN/2024/03/082,Maharashtra,Thane,Dengue,13,0,29-12-2023,,Under Surveillance,"Village Mhadas, PHC Narivali. Fever, weakness. Age 15-50 years. 2 of 6 samples positive for dengue IgM ELISA. (Late report)",Week 3
AR/EKM/2024/04/083,Arunachal Pradesh,East Kameng,Measles,11,0,25-01-2024,25-01-2024,Under Surveillance,"Kid's Care School, Seppa town. Fever with rash. Age 3-6 years. All 5 blood samples positive for Measles IgM ELISA.",Week 4
DN/DMN/2024/04/084,D&N Haveli And Daman And Diu,Daman,Food Poisoning,24,0,23-01-2024,23-01-2024,Under Control,"Village Mohan. Vomiting, pain abdomen, loose stools after marriage ceremony. Age 24-58 years.",Week 4
GJ/GAN/2024/04/085,Gujarat,Gandhinagar,Acute Diarrheal Disease,117,0,23-01-2024,24-01-2024,Under Control,"Village Mohan, Kalol. Vomiting, loose stools, pain abdomen. All water samples fit.",Week 4
GJ/VSD/2024/04/086,Gujarat,Valsad,Acute Diarrheal Disease,73,0,22-01-2024,23-01-2024,Under Control,"Village Mohan, Umbergaon. Vomiting and loose stools after marriage function. Age 15-65 years. Water samples unfit.",Week 4
JK/BGM/2024/04/087,Jammu and Kashmir,Badgam,Jaundice,46,0,24-01-2024,25-01-2024,Under Surveillance,"Village Gurweth Kalan. Fever, fatigue, yellowish discoloration of eyes. Age 3-13 years. All blood negative for Hepatitis A and E. 2 water samples unfit.",Week 4
JH/KUT/2024/04/088,Jharkhand,Khunti,Measles,3,0,26-01-2024,27-01-2024,Under Surveillance,"Sub-District Khunti. Fever with rash. Age 10 months, 6 years, 13 years. All 3 samples positive for Measles IgM ELISA.",Week 4
KN/HAV/2024/04/089,Karnataka,Haveri,Acute Diarrheal Disease,54,0,22-01-2024,24-01-2024,Under Control,"Devraj Arasu Girls Hostel, Anur. Loose motions, vomiting, pain abdomen after hostel food. Age 11-20 years. One water sample unfit.",Week 4
KN/RCR/2024/04/090,Karnataka,Raichur,Chikungunya,9,0,25-01-2024,26-01-2024,Under Surveillance,Village Kapgal. Fever with body and joint pain. 6 of 9 samples positive for Chikungunya IgM ELISA.,Week 4
KL/ALP/2024/04/091,Kerala,Alappuzha,Mumps,9,0,28-01-2024,28-01-2024,Under Surveillance,"MTLPS School, Village Thalavady. Fever with toothache. Age 4-7 years. Positive for Mumps by RT-PCR.",Week 4
KL/ERN/2024/04/092,Kerala,Ernakulam,Acute Diarrheal Disease,123,0,23-01-2024,28-01-2024,Under Surveillance,"MBMM College of Dental Science. Fever, loose motions, pain abdomen, vomiting. Age 18-24 years.",Week 4
KL/CNR/2024/04/093,Kerala,Kannur,Melioidosis,1,0,25-01-2024,27-01-2024,Under Surveillance,"Munderi gram Panchayat. Fever, cough, breathing difficulty. Positive for Burkholderia pseudomallei on culture.",Week 4
KL/CNR/2024/04/094,Kerala,Kannur,Melioidosis,1,0,22-01-2024,23-01-2024,Under Surveillance,"Division 32 of Kannur Corporation. Fever, cough, breathing difficulty. Positive for Burkholderia pseudomallei on culture.",Week 4
KL/KAS/2024/04/095,Kerala,Kozhikode,Hepatitis A,27,0,24-01-2024,24-01-2024,Under Surveillance,"Sub-District Koyilandi. Fever, pain abdomen, fatigue. Both blood samples positive for Hepatitis A IgM ELISA. All water samples unfit.",Week 4
KL/PLK/2024/04/096,Kerala,Palakkad,Chicken Pox,28,0,23-01-2024,23-01-2024,Under Surveillance,Ongallur Madarssa. Fever with rash. Age 7-11 years. RRT investigated.,Week 4
MP/RWA/2024/04/097,Madhya Pradesh,Rewa,Food Poisoning,64,0,26-01-2024,27-01-2024,Under Surveillance,Village Padari. Pain abdomen and vomiting after food on 26th January. No pathogenic organism in stool.,Week 4
MH/BUL/2024/04/098,Maharashtra,Buldhana,Mumps,5,0,25-01-2024,25-01-2024,Under Surveillance,Ashram School Chinchala. Fever with parotid swelling. Age 5-9 years.,Week 4
MH/PLR/2024/04/099,Maharashtra,Palghar,Dengue,16,0,24-01-2024,24-01-2024,Under Surveillance,Village Khadkhad. Fever with joint pain. 5 of 16 samples positive for Dengue IgM ELISA.,Week 4
OR/CUT/2024/04/100,Odisha,Cuttack,Food Poisoning,34,0,25-01-2024,25-01-2024,Under Control,Village Kantapada. Loose motion after food at party. Age 18-80 years. Water samples fit.,Week 4
OR/GJM/2024/04/101,Odisha,Ganjam,Acute Diarrheal Disease,19,0,23-01-2024,23-01-2024,Under Control,Village Baradaballi. Loose motion. Age 16-80 years. All water samples fit.,Week 4
OR/SUN/2024/04/102,Odisha,Sundargarh,Food Poisoning,27,0,27-01-2024,28-01-2024,Under Surveillance,Village Baidpali. Loose motion and vomiting after food in religious function. Age 10-40 years. Water samples fit.,Week 4
PB/FER/2024/04/103,Punjab,Firozepur,Measles,4,0,25-01-2024,26-01-2024,Under Surveillance,Sub-District Firozpur. Fever with rash. Age 3-8 years. All 4 samples positive for Measles IgM ELISA.,Week 4
TN/TNJ/2024/04/104,Tamil Nadu,Thanjavur,Mumps,17,0,24-01-2024,26-01-2024,Under Surveillance,Puthukudi Primary School. Fever with parotid swelling. Age 5-14 years. Samples negative for Mumps IgM ELISA.,Week 4
TN/TVL/2024/04/105,Tamil Nadu,Thiruvallur,Chickenpox,14,0,22-01-2024,22-01-2024,Under Surveillance,JJ Nagar. Fever with rash. Age 1-14 years. RRT investigated.,Week 4
AS/LKM/2024/04/106,Assam,Lakhimpur,Leptospirosis,4,0,22-12-2023,,Under Surveillance,"Village Kakotitup. Fever, headache, nausea, weakness. 1 sample positive for Leptospira IgM ELISA. (Late report)",Week 4
KL/TRC/2024/04/107,Kerala,Thrissur,Chickenpox,23,0,15-01-2024,,Under Surveillance,"Vilwadri Tuition Centre, Kuthampully. Fever with rash. Age 13-15 years. (Late report)",Week 4
MG/EKH/2024/04/0108,Meghalaya,East Khasi Hills,Measles,66,1,08-01-2024,,Under Surveillance,"Villages Kenmynsaw and Kenbah. Fever with rash, cough, coryza. Poor immunization history. 6-year-old male expired 8-01-2024. (Late report)",Week 4
MG/JTH/2024/04/109,Meghalaya,West Jaintia Hills,Measles,24,0,15-01-2024,,Under Surveillance,Maskut Village. Fever with rash. Age 1-24 years. All 5 samples positive for Measles IgM ELISA. (Late report),Week 4
MG/JTH/2024/04/110,Meghalaya,West Jaintia Hills,Human Rabies,1,1,17-01-2024,,Under Control,"Sub-District Laskein. 6-year-old female, hydrophobia, dog bite Dec 2023. Expired 12 January 2024. (Late report)",Week 4
UP/VRN/2024/04/111,Uttar Pradesh,Bhadohi,Measles,6,0,09-01-2024,,Under Surveillance,Village Mailauna. Fever with rash. Age 8-12 years. 3 of 5 samples positive for Measles IgM ELISA. Not immunized. (Late report),Week 4
BH/BGS/2024/05/112,Bihar,Begusarai,Fever with Rash,11,0,31-01-2024,02-02-2024,Under Surveillance,Village Goura. Fever with maculopapular rash. Age 1-41 years. 5 blood and 2 throat swab samples sent to AIIMS Patna.,Week 5
GJ/AHM/2024/05/113,Gujarat,Ahmedabad,Cholera,129,0,03-02-2024,03-02-2024,Under Control,UPHC Dholka. Diarrhea and vomiting. Age 7 months to 85 years. 2 samples positive for Cholera. Cross contamination of water.,Week 5
GJ/AND/2024/05/114,Gujarat,Anand,Mumps,19,0,31-01-2024,31-01-2024,Under Control,"Village Indranaj. Swelling and pain in parotid region, low grade fever. Age <15 years. Diagnosed clinically.",Week 5
GJ/VAD/2024/05/115,Gujarat,Vadodara,Acute Diarrheal Disease,86,0,02-02-2024,02-02-2024,Under Surveillance,"Village Anti, CHC Padra. Pain abdomen and loose watery stool. All age groups. Water samples unsatisfactory. Pipeline leakage likely.",Week 5
JK/ANG/2024/05/116,Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,87,0,29-01-2024,30-01-2024,Under Surveillance,"Villages Waguzarpora and Palpora. Vomiting, diarrhea, fever. Age 3-68 years. One water sample unsatisfactory.",Week 5
JK/SHP/2024/05/117,Jammu and Kashmir,Shopian,Hepatitis A,10,0,02-02-2024,03-02-2024,Under Surveillance,"Village Nadigam. Fever, fatigue, yellow discoloration of eyes. Age 6-19 years. 5 blood samples positive for HAV IgM.",Week 5
JK/SHP/2024/05/118,Jammu and Kashmir,Shopian,Hepatitis A,19,0,02-02-2024,02-02-2024,Under Surveillance,"Village Tranz, Pinjora. Fever, fatigue, yellow discoloration. Age 6-18 years. All 5 blood samples positive for HAV IgM.",Week 5
JK/SHP/2024/05/119,Jammu and Kashmir,Shopian,Hepatitis A,10,0,31-01-2024,01-02-2024,Under Surveillance,"Village Khurampora Barbugh. Fever, fatigue, yellow discoloration. Age 7-18 years. 6 of 10 blood samples positive for HAV IgM.",Week 5
JK/SHP/2024/05/120,Jammu and Kashmir,Shopian,Hepatitis A,15,0,31-01-2024,31-01-2024,Under Surveillance,"Village Molu Chitragam. Fever, fatigue, yellow discoloration. Age 7-18 years. All 15 blood samples positive for HAV IgM.",Week 5
